,id,Category_name,Category_number,Product,Manufacturer / product label / country of origin,Procured_in,Antioxidant_content_in_mmol/100g,Comment,Query,Amazon_url
292,293,Beverages,2,"Soft drink, cola, regular",Burger King,USA,0.03,6,Soft+drink++cola++regular,https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=Soft+drink++cola++regular
293,294,Beverages,2,"Soft drink, cola, regular",McDonald's,USA,0.0,6,Soft+drink++cola++regular,https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=Soft+drink++cola++regular
294,295,Beverages,2,"Soft drink, Fanta",Coca Cola Drikker,Norway,0.08,3,Soft+drink++Fanta,https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=Soft+drink++Fanta
295,296,Beverages,2,"Soft drink, lemon‐lime, light, 7 UP","Ringnes, Norway",Norway,0.0,3,Soft+drink++lemon‐lime++light++7+UP,https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=Soft+drink++lemon‐lime++light++7+UP
296,297,Beverages,2,"Soft drink, lemon‐lime, regular, Sprite",Coca Cola Company,USA,0.0,6,Soft+drink++lemon‐lime++regular++Sprite,https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=Soft+drink++lemon‐lime++regular++Sprite
297,298,Beverages,2,"Soft drink, lemon‐lime, Sprite",Coca‐Cola Drikker,Norway,0.0,3,Soft+drink++lemon‐lime++Sprite,https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=Soft+drink++lemon‐lime++Sprite
298,299,Beverages,2,"Soft drink, orange, Solo","Ringnes, Norway",Norway,0.13,3,Soft+drink++orange++Solo,https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=Soft+drink++orange++Solo
299,300,Beverages,2,"Soft drink, white soda, regular",McDonald's,USA,1.27,6,Soft+drink++white+soda++regular,https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=Soft+drink++white+soda++regular
300,301,Beverages,2,Spirulina Cocktail,"Bræmhults, Sweden",Norway,0.38,3,Spirulina+Cocktail,https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=Spirulina+Cocktail
301,302,Beverages,2,"Sports drink mix, orange flavor",Gatorade,USA,0.01,6,Sports+drink+mix++orange+flavor,https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=Sports+drink+mix++orange+flavor
302,303,Beverages,2,"Sports drink, lemon‐lime flavor",Powerade,USA,0.01,6,Sports+drink++lemon‐lime+flavor,https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=Sports+drink++lemon‐lime+flavor
303,304,Beverages,2,"Sports drink, orange flavor",Gatorade,USA,0.0,6,Sports+drink++orange+flavor,https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=Sports+drink++orange+flavor
304,305,Beverages,2,"Tang, Jamaica, drinking powder",Mexico,Mexico,2.05,3,Tang++Jamaica++drinking+powder,https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=Tang++Jamaica++drinking+powder
305,306,Beverages,2,"Tang, Naranja, drinking powder",Mexico,Mexico,0.54,3,Tang++Naranja++drinking+powder,https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=Tang++Naranja++drinking+powder
306,307,Beverages,2,"Tang, Tamarino, drinking powder",Mexico,Mexico,1.12,3,Tang++Tamarino++drinking+powder,https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=Tang++Tamarino++drinking+powder
307,308,Beverages,2,"Tea, black, Ceylon Breakfast, prepared","Solberg & Hansen, Norway",Norway,0.75,3,Tea++black++Ceylon+Breakfast++prepared,https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=Tea++black++Ceylon+Breakfast++prepared
308,309,Beverages,2,"Tea, black, Ceylon, prepared",,NewZealand,1.21,3,Tea++black++Ceylon++prepared,https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=Tea++black++Ceylon++prepared
309,310,Beverages,2,"Tea, black, Darjeeling Tiger Hill, prepared",,Norway,1.12,3,Tea++black++Darjeeling+Tiger+Hill++prepared,https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=Tea++black++Darjeeling+Tiger+Hill++prepared
310,311,Beverages,2,"Tea, black, Earl Grey, prepared","Twinings, England",Norway,0.95,3,Tea++black++Earl+Grey++prepared,https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=Tea++black++Earl+Grey++prepared
311,312,Beverages,2,"Tea, black, Earl Grey, prepared",,Norway,0.82,3,Tea++black++Earl+Grey++prepared,https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=Tea++black++Earl+Grey++prepared
312,313,Beverages,2,"Tea, Camomile flowers, prepared",Dihlma,NewZealand,0.1,3,Tea++Camomile+flowers++prepared,https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=Tea++Camomile+flowers++prepared
313,314,Beverages,2,"Tea, Combe Tea, dried","The Foods Company Ltd, Malawi",Malawi,57.57,3,Tea++Combe+Tea++dried,https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=Tea++Combe+Tea++dried
314,315,Beverages,2,"Tea, Darjeeling, leaves, dried","Roopaks, Ajmal Khan, N. Dehli",India,2.93,3,Tea++Darjeeling++leaves++dried,https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=Tea++Darjeeling++leaves++dried
315,316,Beverages,2,"Tea, dog rose, from dried dogrose, prepared","Helios, Norway",Norway,0.2,3,Tea++dog+rose++from+dried+dogrose++prepared,https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=Tea++dog+rose++from+dried+dogrose++prepared
316,317,Beverages,2,"Tea, dog rose, from extract, prepared","Weiders Farmasøytiske A/S, Norway",Norway,2.49,3,Tea++dog+rose++from+extract++prepared,https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=Tea++dog+rose++from+extract++prepared
317,318,Beverages,2,"Tea, dog rose, herb tea, prepared",,Norway,0.31,3,Tea++dog+rose++herb+tea++prepared,https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=Tea++dog+rose++herb+tea++prepared
318,319,Beverages,2,"Tea, Flor de Jamaica, prepared",Mexico,Mexico,6.99,3,Tea++Flor+de+Jamaica++prepared,https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=Tea++Flor+de+Jamaica++prepared
319,320,Beverages,2,"Tea, fruit, Mango, prepared","Twinings, England",Norway,0.98,3,Tea++fruit++Mango++prepared,https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=Tea++fruit++Mango++prepared
320,321,Beverages,2,"Tea, fruit, wild berries, prepared","Solberg & Hansen, Norway",Norway,0.49,3,Tea++fruit++wild+berries++prepared,https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=Tea++fruit++wild+berries++prepared
321,322,Beverages,2,"Tea, green, (pink) powder","NPS, Japan",Norway,1347.83,3,Tea++green+++pink++powder,https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=Tea++green+++pink++powder
322,323,Beverages,2,"Tea, green, Assam TGFOP, prepared","Solberg & Hansen, Norway",Norway,1.49,3,Tea++green++Assam+TGFOP++prepared,https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=Tea++green++Assam+TGFOP++prepared
323,324,Beverages,2,"Tea, green, dried",,Norway,24.31,3,Tea++green++dried,https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=Tea++green++dried
324,325,Beverages,2,"Tea, green, Earl Grey, prepared","Twinings, England",Norway,1.43,3,Tea++green++Earl+Grey++prepared,https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=Tea++green++Earl+Grey++prepared
325,326,Beverages,2,"Tea, green, Emperors Garden, prepared",Tetly Australia PtyLtd,NewZealand,1.36,3,Tea++green++Emperors+Garden++prepared,https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=Tea++green++Emperors+Garden++prepared
326,327,Beverages,2,"Tea, green, Green Java, prepared","Twinings, England",Norway,2.62,3,Tea++green++Green+Java++prepared,https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=Tea++green++Green+Java++prepared
327,328,Beverages,2,"Tea, green, Green Label, dried",Lipton,India,6.77,3,Tea++green++Green+Label++dried,https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=Tea++green++Green+Label++dried
328,329,Beverages,2,"Tea, green, Gunpowder, prepared",China,Norway,1.31,3,Tea++green++Gunpowder++prepared,https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=Tea++green++Gunpowder++prepared
329,330,Beverages,2,"Tea, green, Gunpowder, prepared","Solberg & Hansen, Norway",Norway,1.19,3,Tea++green++Gunpowder++prepared,https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=Tea++green++Gunpowder++prepared
330,331,Beverages,2,"Tea, green, Jasmin, prepared",Lipton,Norway,1.27,3,Tea++green++Jasmin++prepared,https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=Tea++green++Jasmin++prepared
331,332,Beverages,2,"Tea, green, Jasmine, prepared","Twinings, England",Norway,1.93,3,Tea++green++Jasmine++prepared,https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=Tea++green++Jasmine++prepared
332,333,Beverages,2,"Tea, green, Jasmine, prepared",Dilhma,NewZealand,2.11,3,Tea++green++Jasmine++prepared,https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=Tea++green++Jasmine++prepared
333,334,Beverages,2,"Tea, green, Java Green, prepared","Twinings, England",Norway,2.31,3,Tea++green++Java+Green++prepared,https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=Tea++green++Java+Green++prepared
334,335,Beverages,2,"Tea, green, leaves, dried, Kashmir Kahawa","Ajmal Khan, N. Dehli",India,10.13,3,Tea++green++leaves++dried++Kashmir+Kahawa,https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=Tea++green++leaves++dried++Kashmir+Kahawa
335,336,Beverages,2,"Tea, green, Ling ching, prepared","Solberg & Hansen, Norway",Norway,1.26,3,Tea++green++Ling+ching++prepared,https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=Tea++green++Ling+ching++prepared
336,337,Beverages,2,"Tea, green, mint, prepared",Lipton,Norway,0.88,3,Tea++green++mint++prepared,https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=Tea++green++mint++prepared
337,338,Beverages,2,"Tea, green, Monkey, prepared",China,Norway,0.57,3,Tea++green++Monkey++prepared,https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=Tea++green++Monkey++prepared
338,339,Beverages,2,"Tea, green, Sencha, prepared","Solberg & Hansen, Norway",Norway,1.24,3,Tea++green++Sencha++prepared,https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=Tea++green++Sencha++prepared
339,340,Beverages,2,"Tea, green, Spesial Chun Mee, prepared","Solberg & Hansen, Norway",Norway,1.43,3,Tea++green++Spesial+Chun+Mee++prepared,https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=Tea++green++Spesial+Chun+Mee++prepared
340,341,Beverages,2,"Tea, herb, Mate‐brown, prepared",,Norway,0.27,3,Tea++herb++Mate‐brown++prepared,https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=Tea++herb++Mate‐brown++prepared
341,342,Beverages,2,"Tea, iced tea, brewed, unsweetened",Wendy's,USA,0.37,6,Tea++iced+tea++brewed++unsweetened,https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=Tea++iced+tea++brewed++unsweetened
342,343,Beverages,2,"Tea, iced tea, peach",Eldorado,Norway,0.46,3,Tea++iced+tea++peach,https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=Tea++iced+tea++peach
343,344,Beverages,2,"Tea, iced tea, ready to drink, brisk lemon iced tea",Lipton,USA,0.05,6,Tea++iced+tea++ready+to+drink++brisk+lemon+iced+tea,https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=Tea++iced+tea++ready+to+drink++brisk+lemon+iced+tea
344,345,Beverages,2,"Tea, iced tea, ready to drink, iced tea with lemon flavor",Arizona,USA,0.16,6,Tea++iced+tea++ready+to+drink++iced+tea+with+lemon+flavor,https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=Tea++iced+tea++ready+to+drink++iced+tea+with+lemon+flavor
345,346,Beverages,2,"Tea, iced tea, ready to drink, natural lemon iced tea",Nestea,USA,0.05,6,Tea++iced+tea++ready+to+drink++natural+lemon+iced+tea,https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=Tea++iced+tea++ready+to+drink++natural+lemon+iced+tea
346,347,Beverages,2,"Tea, instant, dry powder, unsweetened",Nestea,USA,165.86,6,Tea++instant++dry+powder++unsweetened,https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=Tea++instant++dry+powder++unsweetened
347,348,Beverages,2,"Tea, instant, dry powder, with lemon and sugar, prepared",Lipton,USA,0.94,6,Tea++instant++dry+powder++with+lemon+and+sugar++prepared,https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=Tea++instant++dry+powder++with+lemon+and+sugar++prepared
348,349,Beverages,2,"Tea, leaves, fresh",Malawi,Malawi,26.55,4,Tea++leaves++fresh,https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=Tea++leaves++fresh
349,350,Beverages,2,"Tea, Peppermint, ground and whole fresh leaves, prepared",,Norway,0.43,3,Tea++Peppermint++ground+and+whole+fresh+leaves++prepared,https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=Tea++Peppermint++ground+and+whole+fresh+leaves++prepared
350,351,Beverages,2,"Tea, Rabs Classic Malawi Tea, dried","Rab Processors Ltd, Malawi",Malawi,57.72,3,Tea++Rabs+Classic+Malawi+Tea++dried,https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=Tea++Rabs+Classic+Malawi+Tea++dried
351,352,Beverages,2,"Tea, Roiboos, Aspalathus linearis, prepared","Freshpak, South Africa",SouthAfrica,0.42,,Tea++Roiboos++Aspalathus+linearis++prepared,https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=Tea++Roiboos++Aspalathus+linearis++prepared
352,353,Beverages,2,"Tea, Rooibos, prepared",South‐Africa,Norway,0.61,3,Tea++Rooibos++prepared,https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=Tea++Rooibos++prepared
353,354,Beverages,2,"Tea, Sermoni, green tea, prepared",,Norway,2.45,3,Tea++Sermoni++green+tea++prepared,https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=Tea++Sermoni++green+tea++prepared
354,355,Beverages,2,"Tea, Sermoni, powder",,Norway,155.42,3,Tea++Sermoni++powder,https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=Tea++Sermoni++powder
355,356,Beverages,2,"Vanilla shake, national",Burger King,USA,0.08,6,Vanilla+shake++national,https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=Vanilla+shake++national
356,357,Beverages,2,"Whisky, Finest Scotch Whisky","The Famouse Grouse, Gloug & Son, Scotland",Norway,0.1,3,Whisky++Finest+Scotch+Whisky,https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=Whisky++Finest+Scotch+Whisky
357,358,Beverages,2,"White soda, regular",Wendy's,USA,0.0,6,White+soda++regular,https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=White+soda++regular
358,359,Beverages,2,"White soda, regular",Burger King,USA,0.0,6,White+soda++regular,https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=White+soda++regular
359,360,Beverages,2,"Wine, Danish Cherry‐wine",,England,0.23,3,Wine++Danish+Cherry‐wine,https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=Wine++Danish+Cherry‐wine
360,361,Beverages,2,"Wine, red, Amigo",,Norway,2.15,3,Wine++red++Amigo,https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=Wine++red++Amigo
361,362,Beverages,2,"Wine, red, Arrow 2000",USA,Norway,2.44,3,Wine++red++Arrow+2000,https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=Wine++red++Arrow+2000
362,363,Beverages,2,"Wine, red, Banrock Station Shiraz",,Norway,1.97,3,Wine++red++Banrock+Station+Shiraz,https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=Wine++red++Banrock+Station+Shiraz
363,364,Beverages,2,"Wine, red, Baro`n de Oña toija 1996",Spain,Norway,2.03,3,Wine++red++Baro`n+de+Oña+toija+1996,https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=Wine++red++Baro`n+de+Oña+toija+1996
364,365,Beverages,2,"Wine, red, Boheme",,Norway,2.06,3,Wine++red++Boheme,https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=Wine++red++Boheme
365,366,Beverages,2,"Wine, red, Canaletto 2000",Italy,Norway,3.05,3,Wine++red++Canaletto+2000,https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=Wine++red++Canaletto+2000
366,367,Beverages,2,"Wine, red, Canepa 2000",Chile,Norway,2.82,3,Wine++red++Canepa+2000,https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=Wine++red++Canepa+2000
367,368,Beverages,2,"Wine, red, Capella","Puglia, Italy",Norway,2.49,3,Wine++red++Capella,https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=Wine++red++Capella
368,369,Beverages,2,"Wine, red, Cato Negro",,Norway,2.49,3,Wine++red++Cato+Negro,https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=Wine++red++Cato+Negro
369,370,Beverages,2,"Wine, red, Chanti Collisensi 2003",,Norway,3.08,3,Wine++red++Chanti+Collisensi+2003,https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=Wine++red++Chanti+Collisensi+2003
370,371,Beverages,2,"Wine, red, Chapelle Du Bois",,Norway,1.94,3,Wine++red++Chapelle+Du+Bois,https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=Wine++red++Chapelle+Du+Bois
371,372,Beverages,2,"Wine, red, Chateau Coufran1999",France,Norway,2.62,3,Wine++red++Chateau+Coufran1999,https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=Wine++red++Chateau+Coufran1999
372,373,Beverages,2,"Wine, red, Chianti Classico 2000",Italy,Norway,2.68,3,Wine++red++Chianti+Classico+2000,https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=Wine++red++Chianti+Classico+2000
373,374,Beverages,2,"Wine, red, Côte de Nuits‐ Villages1998",France,Norway,1.78,3,Wine++red++Côte+de+Nuits‐+Villages1998,https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=Wine++red++Côte+de+Nuits‐+Villages1998
374,375,Beverages,2,"Wine, red, Crozes Hermitage 1999",France,Norway,2.24,3,Wine++red++Crozes+Hermitage+1999,https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=Wine++red++Crozes+Hermitage+1999
375,376,Beverages,2,"Wine, red, Fortino",Italy,Norway,2.55,3,Wine++red++Fortino,https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=Wine++red++Fortino
376,377,Beverages,2,"Wine, red, J.P.Chenet",,Norway,2.83,3,Wine++red++J.P.Chenet,https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=Wine++red++J.P.Chenet
377,378,Beverages,2,"Wine, red, Kimberly 2001",South‐Africa,Norway,2.33,3,Wine++red++Kimberly+2001,https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=Wine++red++Kimberly+2001
378,379,Beverages,2,"Wine, red, La Boiselière",,Norway,1.82,3,Wine++red++La+Boiselière,https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=Wine++red++La+Boiselière
379,380,Beverages,2,"Wine, red, La Buvette",France,Norway,2.37,3,Wine++red++La+Buvette,https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=Wine++red++La+Buvette
380,381,Beverages,2,"Wine, red, Merlot",,USA,2.13,6,Wine++red++Merlot,https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=Wine++red++Merlot
381,382,Beverages,2,"Wine, red, Mezzamonde Negramoro",,Norway,2.9,3,Wine++red++Mezzamonde+Negramoro,https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=Wine++red++Mezzamonde+Negramoro
382,383,Beverages,2,"Wine, red, Montepulciano 2001",Italy,Norway,3.66,3,Wine++red++Montepulciano+2001,https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=Wine++red++Montepulciano+2001
383,384,Beverages,2,"Wine, red, Syrah, bag‐in‐box",France,Norway,2.1,3,Wine++red++Syrah++bag‐in‐box,https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=Wine++red++Syrah++bag‐in‐box
384,385,Beverages,2,"Wine, red, Terriero 2001",Italy,Norway,2.41,3,Wine++red++Terriero+2001,https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=Wine++red++Terriero+2001
385,386,Beverages,2,"Wine, red, Vidigal Reserva",,Norway,2.69,3,Wine++red++Vidigal+Reserva,https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=Wine++red++Vidigal+Reserva
386,387,Beverages,2,"Wine, red, Vino Maipo",,Norway,2.7,3,Wine++red++Vino+Maipo,https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=Wine++red++Vino+Maipo
387,388,Beverages,2,"Wine, white, Black Tower",,Norway,0.19,3,Wine++white++Black+Tower,https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=Wine++white++Black+Tower
388,389,Beverages,2,"Wine, white, Blue Nun",,Norway,0.37,3,Wine++white++Blue+Nun,https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=Wine++white++Blue+Nun
389,390,Beverages,2,"Wine, white, Caliterra 2000",Chile,Norway,0.3,3,Wine++white++Caliterra+2000,https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=Wine++white++Caliterra+2000
390,391,Beverages,2,"Wine, white, Chardonnay",,USA,0.16,6,Wine++white++Chardonnay,https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=Wine++white++Chardonnay
391,392,Beverages,2,"Wine, white, Dr. L. Riesling",,Norway,0.25,3,Wine++white++Dr.+L.+Riesling,https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=Wine++white++Dr.+L.+Riesling
392,393,Beverages,2,"Wine, white, Dunvar",,Norway,0.44,3,Wine++white++Dunvar,https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=Wine++white++Dunvar
393,394,Beverages,2,"Wine, white, Liebfraumilch Silbervin",,Norway,0.5,3,Wine++white++Liebfraumilch+Silbervin,https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=Wine++white++Liebfraumilch+Silbervin
394,395,Beverages,2,"Wine, white, Milestone 2001",Australia,Norway,0.47,3,Wine++white++Milestone+2001,https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=Wine++white++Milestone+2001
395,396,Beverages,2,"Wine, white, Moscato",,Norway,0.42,3,Wine++white++Moscato,https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=Wine++white++Moscato
396,397,Beverages,2,"Wine, white, Moselland",,Norway,0.38,3,Wine++white++Moselland,https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=Wine++white++Moselland
397,398,Beverages,2,"Wine, white, Moselland Ars Vitis",,Norway,0.4,3,Wine++white++Moselland+Ars+Vitis,https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=Wine++white++Moselland+Ars+Vitis
398,399,Beverages,2,"Wine, white, Müller Reiler Wom Heissen Stein",,Norway,0.3,3,Wine++white++Müller+Reiler+Wom+Heissen+Stein,https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=Wine++white++Müller+Reiler+Wom+Heissen+Stein
399,400,Beverages,2,"Wine, white, Tarquet",,Norway,0.5,3,Wine++white++Tarquet,https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=Wine++white++Tarquet
400,401,Beverages,2,"Wine, white, Viogner",,Norway,0.56,3,Wine++white++Viogner,https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=Wine++white++Viogner
401,402,Breakfast cereals,3,100% Bran,Post,USA,1.2,3,100%+Bran,https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=100%+Bran
402,403,Breakfast cereals,3,"100% Natural Granola, Oats, Honey, & Raisins",Quaker,USA,0.16,6,100%+Natural+Granola++Oats++Honey++&+Raisins,https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=100%+Natural+Granola++Oats++Honey++&+Raisins
403,404,Breakfast cereals,3,All‐Bran,Kellogg's,USA,1.68,3,All‐Bran,https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=All‐Bran
404,405,Breakfast cereals,3,All‐Bran,Kellogg's,USA,1.56,6,All‐Bran,https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=All‐Bran
405,406,Breakfast cereals,3,All‐Bran Plus,Kellogg's Company of Great Britain Ltd. For nordic Kellogg's Norway,Norway,1.68,3,All‐Bran+Plus,https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=All‐Bran+Plus
406,407,Breakfast cereals,3,All‐Bran Regular,Kellogg's Company of Great Britain Ltd. For nordic Kellogg's Norway,Norway,1.96,3,All‐Bran+Regular,https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=All‐Bran+Regular
407,408,Breakfast cereals,3,Bran Flakes,Post,USA,1.21,3,Bran+Flakes,https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=Bran+Flakes
